,src,tgt,tag,loss
0,fpvure,fpvured,V;PST,0.9929912
1,ijtgreut,ijtgreuted,V;PST,2.9244776
2,qno,qnoed,V;PST,2.0639029
3,loyr,loyred,V;PST,0.7787921
4,quix,quix,V;PST,1.7958062
5,lfke,lfked,V;PST,1.4008244
6,stait,staited,V;PST,0.700793
7,foucy,foucyed,V;PST,1.0353901
8,tsk,tsked,V;PST,0.7972391
9,huve,huve,V;PST,1.614598
10,scare,scared,V;PST,0.71727943
11,jxt,jxt,V;PST,2.1900969
12,ztujf,ztujfed,V;PST,1.570629
13,dcpp,dcppped,V;PST,1.6668649
14,lcse,lcst,V;PST,2.0963378
15,jlep,jlepped,V;PST,0.8060682
16,cpji,cpjied,V;PST,1.1455137
17,rnlajl,rnlajled,V;PST,1.8395557
18,somsf,somsfd,V;PST,2.0666935
19,uzyervtand,uzyervtood,V;PST,2.375511
20,stop,stopped,V;PST,0.713396
21,tteez,tteezed,V;PST,1.0742675
22,fbigoaen,fbigoaened,V;PST,1.6946385
23,uily,uilyed,V;PST,1.1252143
24,ceavl,ceavld,V;PST,2.0590632
25,hpxy,hpxyed,V;PST,1.7457
26,oim,oimped,V;PST,1.3775872
27,meks,meksed,V;PST,1.1002738
28,chtose,chtse,V;PST,3.659724
29,qlap,qlapped,V;PST,1.7048726
30,rezhggime,rezhggimed,V;PST,1.7744846
31,miss,missed,V;PST,0.9792264
32,saigt,saigted,V;PST,0.7438044
33,pjzy,pjzyed,V;PST,1.6342679
34,sucpound,sucpounded,V;PST,0.993931
35,pzop,pzopped,V;PST,1.1733192
36,qash,qashed,V;PST,1.3929169
37,shat,shat,V;PST,1.4053344
38,sgtw,sgtwed,V;PST,0.83853346
39,laugh,laughed,V;PST,0.6913911
40,hurn,hurned,V;PST,0.7152081
41,surhrise,surhrised,V;PST,0.7611973
42,knocz,knoczed,V;PST,1.1036315
43,slrp,slrpped,V;PST,2.2265859
44,eeacj,eeacjed,V;PST,1.5120026
45,xkljf,xkljfed,V;PST,1.7069246
46,trebt,trebted,V;PST,1.010214
47,stxn,stxnt,V;PST,1.9631397
48,staaiqhhqn,staaiqhhqned,V;PST,2.1907072
49,puyn,puyned,V;PST,0.85546863
50,hobpne,hobpned,V;PST,1.9042792
51,bit,bit,V;PST,1.319266
52,went,wented,V;PST,0.6901038
53,addrmxs,addrmxsed,V;PST,2.1379094
54,eacise,eacised,V;PST,0.7059153
55,ruin,ruined,V;PST,0.700404
56,drmfk,drmfked,V;PST,1.4504532
57,gnwa,gnwaped,V;PST,1.0728366
58,vleos,vleosed,V;PST,0.8236656
59,begin,began,V;PST,1.0057601
60,hdoqs,hdoqsed,V;PST,1.9895394
61,leain,leained,V;PST,0.6877939
62,barn,barned,V;PST,0.69466954
63,iokh,iokhed,V;PST,1.172062
64,czkcueee,czkcueeed,V;PST,2.232579
65,klozt,klozted,V;PST,0.85390294
66,cqowd,cqowded,V;PST,1.6724247
67,dpra,dprad,V;PST,1.858831
68,clucc,clucced,V;PST,0.7058301
69,sgwoth,sgwothed,V;PST,0.79919386
70,obvge,obvged,V;PST,3.050731
71,sturk,sturked,V;PST,0.7244719
72,wzai,wzaid,V;PST,1.6961493
73,defqde,defqded,V;PST,1.4263664
74,rynge,rynged,V;PST,1.2848747
75,szude,szuded,V;PST,1.315852
76,stavle,stavled,V;PST,0.89287233
77,iljmde,iljmded,V;PST,1.3184161
78,sqeash,sqeashed,V;PST,1.044123
79,fwrt,fwrted,V;PST,1.5113561
80,ikckrpoaaae,ikckrpoaaaed,V;PST,2.7066278
81,mfil,mfiled,V;PST,1.8535612
82,deatooy,deatooyed,V;PST,1.41388
83,screxm,screxmed,V;PST,0.7779632
84,fdof,fdofed,V;PST,1.5413526
85,wltch,wltched,V;PST,0.84725016
86,cmfsine,cmfsined,V;PST,2.3372915
87,cgol,cgoled,V;PST,1.2797207
88,sfove,sfoved,V;PST,0.7395916
89,mind,minded,V;PST,0.86537063
90,tkcr,tkcred,V;PST,1.4830964
91,shfep,shfpt,V;PST,3.2889755
92,gpspt,gpspted,V;PST,1.2513157
93,kfrm,kfrmed,V;PST,2.8860188
94,uyoh,uyohed,V;PST,0.9151738
95,tatmlo,tatmloed,V;PST,1.5266815
96,premknd,premknded,V;PST,1.3120602
97,iaje,iajed,V;PST,0.91349936
98,xllck,xllckd,V;PST,2.360821
99,blpe,blpeed,V;PST,1.3460438
100,msup,msuped,V;PST,2.0820699
101,derian,derianed,V;PST,0.8943567
102,dxice,dxiced,V;PST,1.7525789
103,pvke,pvked,V;PST,1.8609935
104,svlfp,svlfped,V;PST,2.2787056
105,fid,fidped,V;PST,1.119164
106,concgcne,concgcned,V;PST,1.8008438
107,hsgd,hsgded,V;PST,1.2176831
108,arryst,arrysted,V;PST,1.1093403
109,trick,tricked,V;PST,0.6931846
110,swrsjnge,swrsjnged,V;PST,2.0476878
111,requcre,requcred,V;PST,0.8331582
112,wbcy,wbcied,V;PST,1.3788909
113,drkp,drkpped,V;PST,1.3667643
114,cldmaer,cldmaered,V;PST,1.4580717
115,suallow,suallowed,V;PST,0.8459939
116,aamyleaate,aamyleaated,V;PST,2.0744634
117,phnysh,phnyshed,V;PST,1.3432844
118,capsp,capspd,V;PST,2.3849053
119,ehlhg,ehlhgd,V;PST,1.835744
120,rexresdut,rexresduted,V;PST,1.3636721
121,wxrn,wxrned,V;PST,1.2437935
122,cohy,cohied,V;PST,0.95263916
123,ngbk,ngbked,V;PST,2.1117003
124,manuge,manuged,V;PST,1.5655956
125,sjanh,sjanhed,V;PST,0.9339593
126,kwm,kwmed,V;PST,2.277893
127,iwviuaie,iwviuaied,V;PST,1.685659
128,lipter,liptered,V;PST,0.74890137
129,crehahe,crehahed,V;PST,0.99184346
130,ctntkr,ctntkred,V;PST,1.5229936
131,aasume,aasumed,V;PST,0.8696705
132,gzar,gzared,V;PST,1.0150088
133,ufad,ufaded,V;PST,0.80074644
134,tttrl,tttrled,V;PST,1.0433452
135,hby,hbyed,V;PST,1.6577984
136,deqlbr,deqlbred,V;PST,2.5905468
137,cmell,cmelled,V;PST,1.0204347
138,adtzh,adtzhed,V;PST,1.5482628
139,coloest,coloested,V;PST,1.2532136
140,scrazch,scrazched,V;PST,0.7695515
141,rmdzie,rmdzied,V;PST,2.2903368
142,fbrv,fbrvd,V;PST,2.2570832
143,ncooo,ncoooed,V;PST,1.006267
144,ekgeee,ekgeeed,V;PST,1.8034075
145,cooplirate,cooplirated,V;PST,0.7984519
146,ixnerit,ixnerited,V;PST,0.9329115
147,bslong,bslonged,V;PST,0.76065904
148,wrdbur,wrdbured,V;PST,1.7002852
149,rwckmle,rwckmled,V;PST,1.582282
150,crosi,crosied,V;PST,1.3162764
151,juft,jufted,V;PST,1.2894154
152,advestuse,advestused,V;PST,0.97653043
153,cugsult,cugsulted,V;PST,0.8329239
154,wmob,wmobed,V;PST,1.5338805
155,herd,herded,V;PST,0.7378375
156,umsub,umsubbed,V;PST,0.7722545
157,jbzg,jbzgged,V;PST,1.7661098
158,cfzgaike,cfzgaiked,V;PST,1.5292549
159,tune,tuned,V;PST,0.77830034
160,bloak,bloaked,V;PST,0.6971631
161,sobnt,sobnted,V;PST,1.8211577
162,offhe,offheed,V;PST,1.3896269
163,atipgk,atipgked,V;PST,1.3989524
164,flutter,fluttered,V;PST,0.71460617
165,tosyp,tosypd,V;PST,2.1129801
166,poifk,poifked,V;PST,1.0419511
167,shorten,shortened,V;PST,0.7010326
168,cwpnch,cwpnched,V;PST,1.6070211
169,dxnvt,dxnvted,V;PST,2.0992496
170,propgl,propglled,V;PST,1.3131928
171,explfin,explfined,V;PST,1.3345613
172,speport,speported,V;PST,0.8550871
173,curle,curled,V;PST,0.7102302
174,aee,aeed,V;PST,1.1950005
175,salute,saluted,V;PST,0.7023231
176,foilow,foilowed,V;PST,0.77731156
177,hos,hosed,V;PST,1.0421854
178,clarqe,clarqed,V;PST,1.1758571
179,stewne,stewned,V;PST,1.2135214
180,dzksrwct,dzksrwcted,V;PST,1.907146
181,fnrbid,fnrbade,V;PST,2.4165015
182,traznbort,traznborted,V;PST,1.3344259
183,mpncp,mpncpd,V;PST,3.1251776
184,yqlj,yqljed,V;PST,1.3612005
185,xlear,xleared,V;PST,0.8905549
186,hynddtize,hynddtized,V;PST,1.2309684
187,cikdode,cikdoded,V;PST,1.0917051
188,spmam,spmam,V;PST,1.323851
189,syitch,syitched,V;PST,1.0504365
