,src,tgt,tag,length,loss
0,fpvure,fpvured,V;PST,8,7.9439297
1,ijtgreut,ijtgreuted,V;PST,11,32.169254
2,qno,qnoed,V;PST,6,12.383417
3,loyr,loyred,V;PST,7,5.451545
4,quix,quix,V;PST,5,8.979031
5,lfke,lfked,V;PST,6,8.404946
6,stait,staited,V;PST,8,5.606344
7,foucy,foucyed,V;PST,8,8.283121
8,tsk,tsked,V;PST,6,4.783435
9,huve,huve,V;PST,5,8.07299
10,scare,scared,V;PST,7,5.020956
11,jxt,jxt,V;PST,4,8.760387
12,ztujf,ztujfed,V;PST,8,12.565032
13,dcpp,dcppped,V;PST,8,13.334919
14,lcse,lcst,V;PST,5,10.4816885
15,jlep,jlepped,V;PST,8,6.4485455
16,cpji,cpjied,V;PST,7,8.018596
17,rnlajl,rnlajled,V;PST,9,16.556002
18,somsf,somsfd,V;PST,7,14.466854
19,uzyervtand,uzyervtood,V;PST,11,26.130621
20,stop,stopped,V;PST,8,5.707168
21,tteez,tteezed,V;PST,8,8.59414
22,fbigoaen,fbigoaened,V;PST,11,18.641024
23,uily,uilyed,V;PST,7,7.8765006
24,ceavl,ceavld,V;PST,7,14.413443
25,hpxy,hpxyed,V;PST,7,12.2199
26,oim,oimped,V;PST,7,9.64311
27,meks,meksed,V;PST,7,7.701917
28,chtose,chtse,V;PST,6,21.958344
29,qlap,qlapped,V;PST,8,13.638981
30,rezhggime,rezhggimed,V;PST,11,19.519331
31,miss,missed,V;PST,7,6.8545847
32,saigt,saigted,V;PST,8,5.950435
33,pjzy,pjzyed,V;PST,7,11.439876
34,sucpound,sucpounded,V;PST,11,10.933241
35,pzop,pzopped,V;PST,8,9.386554
36,qash,qashed,V;PST,7,9.750419
37,shat,shat,V;PST,5,7.026672
38,sgtw,sgtwed,V;PST,7,5.8697343
39,laugh,laughed,V;PST,8,5.531129
40,hurn,hurned,V;PST,7,5.006457
41,surhrise,surhrised,V;PST,10,7.6119733
42,knocz,knoczed,V;PST,8,8.829052
43,slrp,slrpped,V;PST,8,17.812687
44,eeacj,eeacjed,V;PST,8,12.096021
45,xkljf,xkljfed,V;PST,8,13.655396
46,trebt,trebted,V;PST,8,8.081712
47,stxn,stxnt,V;PST,6,11.778838
48,staaiqhhqn,staaiqhhqned,V;PST,13,28.479193
49,puyn,puyned,V;PST,7,5.9882803
50,hobpne,hobpned,V;PST,8,15.234234
51,bit,bit,V;PST,4,5.277064
52,went,wented,V;PST,7,4.8307266
53,addrmxs,addrmxsed,V;PST,10,21.379093
54,eacise,eacised,V;PST,8,5.647322
55,ruin,ruined,V;PST,7,4.9028277
56,drmfk,drmfked,V;PST,8,11.603625
57,gnwa,gnwaped,V;PST,8,8.582693
58,vleos,vleosed,V;PST,8,6.589325
59,begin,began,V;PST,6,6.03456
60,hdoqs,hdoqsed,V;PST,8,15.916315
61,leain,leained,V;PST,8,5.5023513
62,barn,barned,V;PST,7,4.8626866
63,iokh,iokhed,V;PST,7,8.204434
64,czkcueee,czkcueeed,V;PST,10,22.32579
65,klozt,klozted,V;PST,8,6.8312235
66,cqowd,cqowded,V;PST,8,13.379397
67,dpra,dprad,V;PST,6,11.152987
68,clucc,clucced,V;PST,8,5.646641
69,sgwoth,sgwothed,V;PST,9,7.1927447
70,obvge,obvged,V;PST,7,21.355116
71,sturk,sturked,V;PST,8,5.7957754
72,wzai,wzaid,V;PST,6,10.176896
73,defqde,defqded,V;PST,8,11.410932
74,rynge,rynged,V;PST,7,8.9941225
75,szude,szuded,V;PST,7,9.210964
76,stavle,stavled,V;PST,8,7.1429787
77,iljmde,iljmded,V;PST,8,10.547329
78,sqeash,sqeashed,V;PST,9,9.397107
79,fwrt,fwrted,V;PST,7,10.579493
80,ikckrpoaaae,ikckrpoaaaed,V;PST,13,35.18616
81,mfil,mfiled,V;PST,7,12.974928
82,deatooy,deatooyed,V;PST,10,14.1388
83,screxm,screxmed,V;PST,9,7.001669
84,fdof,fdofed,V;PST,7,10.789469
85,wltch,wltched,V;PST,8,6.7780013
86,cmfsine,cmfsined,V;PST,9,21.035624
87,cgol,cgoled,V;PST,7,8.958045
88,sfove,sfoved,V;PST,7,5.177141
89,mind,minded,V;PST,7,6.0575943
90,tkcr,tkcred,V;PST,7,10.381675
91,shfep,shfpt,V;PST,6,19.733852
92,gpspt,gpspted,V;PST,8,10.010526
93,kfrm,kfrmed,V;PST,7,20.202131
94,uyoh,uyohed,V;PST,7,6.4062166
95,tatmlo,tatmloed,V;PST,9,13.740134
96,premknd,premknded,V;PST,10,13.120603
97,iaje,iajed,V;PST,6,5.480996
98,xllck,xllckd,V;PST,7,16.525747
99,blpe,blpeed,V;PST,7,9.422307
